"Id","NameEn","NameUk","NamePt","CountryCode","RegionEn","RegionUk","RegionPt","Latitude","Longitude","Population","NameEs","RegionEs"
"461727","Olenevka","Olenevka","Olenevka","UA","Crimea","Республіка Крим","República Autónoma da Crimeia","45.38333","32.53333","1441","Olenevka","República autónoma de Crimea"
"498959","Samiilove","Самійлове","Samiilove","UA","Donetsk","Донецька Область","Oblast de Donetsk","47.25519","38.25317","573","Samiilove","Óblast de Donetsk"
"505257","Urzuf","Урзуф","Urzuf","UA","Donetsk","Донецька Область","Oblast de Donetsk","46.91495","37.10426","2904","Urzuf","Óblast de Donetsk"
"517270","Novozuyevka","Новозуївка","Novozuyevka","UA","Crimea","Республіка Крим","República Autónoma da Crimeia","45.2387","34.15456","501","Novozuyevka","República autónoma de Crimea"
"538992","Kurakhivka","Kurakhivka","Kurakhivka","UA","Donetsk","Донецька Область","Oblast de Donetsk","48.03064","37.37245","2600","Kurakhivka","Óblast de Donetsk"
"577871","Bilosarayska Kosa","Білосарайська Коса","Bilosarayska Kosa","UA","Donetsk","Донецька Область","Oblast de Donetsk","46.90275","37.34539","901","Bilosarayska Kosa","Óblast de Donetsk"
"613273","Lebedyn","Лебедин","Lebedyn","UA","Sumy","Сумська Область","Oblast de Sumi","50.58228","34.48258","23892","Lebedyn","Óblast de Sumy"
"616196","Staryi Dobrotvir","Старий Добротвір","Staryi Dobrotvir","UA","Lviv","Львівська Область","Oblast de Lviv","50.23154","24.37701","1200","Staryi Dobrotvir","Óblast de Leópolis"
"616743","Druzhkivka","Дружківка","Druzhkivka","UA","Donetsk","Донецька Область","Oblast de Donetsk","48.61995","37.52537","53977","Druzhkivka","Óblast de Donetsk"
"617030","Yevhenivka","Євгенівка","Yevhenivka","UA","Odesa","Одеська Область","Oblast de Odessa","46.38703","29.2016","754","Yevhenivka","Óblast de Odesa"
"617618","Pavlivka","Павлівка","Pavlivka","UA","Odesa","Одеська Область","Oblast de Odessa","47.24189","29.56943","1021","Pavlivka","Óblast de Odesa"
"618542","Bolhan","Болган","Bolhan","UA","Vinnytsia","Вінницька область","Oblast de Vinnytsia","48.14373","28.73097","1082","Bolhan","Óblast de Vínnytsia"
"618643","Oleksiivka","Олексіївка","Oleksiivka","UA","Odesa","Одеська Область","Oblast de Odessa","47.98951","28.92523","976","Oleksiivka","Óblast de Odesa"
"618835","Zhydachiv","Zhydachiv","Zhydachiv","UA","Lviv","Львівська Область","Oblast de Lviv","49.3832","24.13918","10353","Zhidáchiv","Óblast de Leópolis"
"686729","Vasylivka","Василівка","Vasylivka","UA","Zaporizhzhia","Запорізька область","Oblast de Zaporíjia","47.44218","35.28213","12567","Vasylivka","Óblast de Zaporiyia"
"686748","Kovyl’noye","Ковильне","Kovyl’noye","UA","Crimea","Республіка Крим","República Autónoma da Crimeia","45.69028","33.52775","783","Kovyl’noye","República autónoma de Crimea"
"686762","Ivano-Frankove","Івано-Франкове","Ivano-Frankove","UA","Lviv","Львівська Область","Oblast de Lviv","49.92167","23.72495","6223","Ivano-Frankove","Óblast de Leópolis"
"686763","Hvozdavka Druha","Гвоздавка Друга","Hvozdavka Druha","UA","Odesa","Одеська Область","Oblast de Odessa","47.88979","30.08836","1074","Hvozdavka Druha","Óblast de Odesa"
"686764","Hvozdavka Persha","Гвоздавка Перша","Hvozdavka Persha","UA","Odesa","Одеська Область","Oblast de Odessa","47.89584","30.07502","635","Hvozdavka Persha","Óblast de Odesa"
"686777","Zybkove","Zybkove","Zybkove","UA","Kirovohrad","Кіровоградська область","Oblast de Kirovogrado","48.77001","33.46913","924","Zybkove","Óblast de Kirovogrado"
"686778","Zybiny","Зибини","Zybiny","UA","Crimea","Республіка Крим","República Autónoma da Crimeia","45.23674","34.64987","1220","Zybiny","República autónoma de Crimea"
"686786","Zvyzhen","Zvyzhen","Zvyzhen","UA","Lviv","Львівська Область","Oblast de Lviv","49.85953","25.23716","537","Zvyzhen","Óblast de Leópolis"
"686789","Zviriv","Звірів","Zviriv","UA","Volyn","Волинська Область","Oblast de Volínia","50.78333","25.56667","670","Zviriv","Óblast de Volyn"
"686792","Zvenyachyn","Звенячин","Zvenyachyn","UA","Chernivtsi","Чернівецька область","Oblast de Chernivtsi","48.62664","25.72738","954","Zvenyachyn","Chernivtsi"
"686799","Zvirove","Звірове","Zvirove","UA","Donetsk","Донецька Область","Oblast de Donetsk","48.25057","37.12879","1037","Zvirove","Óblast de Donetsk"
"686803","Zvenyhorodka","Звенигородка","Zvenyhorodka","UA","Cherkasy","Черкаська область","Oblast de Tcherkássi","49.07765","30.96074","16490","Zvenyhorodka","Óblast de Cherkasy"
"686809","Zuivtsi","Зуївці","Zuivtsi","UA","Poltava","Полтавська область","Oblast de Poltava","50.17696","33.75273","1307","Zuivtsi","Óblast de Poltava"
"686810","Zuyivka","Zuyivka","Zuyivka","UA","Donetsk","Донецька Область","Oblast de Donetsk","48.06014","38.24902","3269","Zuyivka","Óblast de Donetsk"
"686812","Zuya","Зуя","Zuya","UA","Crimea","Республіка Крим","República Autónoma da Crimeia","45.05418","34.32152","6230","Zuya","República autónoma de Crimea"
"686813","Tsuren","Цурень","Tsuren","UA","Chernivtsi","Чернівецька область","Oblast de Chernivtsi","48.2379","26.10147","946","Tsuren","Chernivtsi"
